證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
6116,彩晶,"8,907,000","52,338,470",5.95,5.96,5.81,5.87,-0.07,"2,025"
6117,迎廣,"26,000","411,250",15.80,15.90,15.75,15.90,+0.10,12
6120,達運,"664,000","6,770,100",10.40,10.40,10.10,10.20,-0.10,265
6128,上福,"57,000","1,651,850",28.80,29.10,28.80,29.05,+0.25,27
6131,鈞泰,"5,000","12,900",2.58,2.58,2.58,2.58,-0.17,2
6133,金橋,"125,000","860,780",6.90,6.99,6.83,6.94,-0.15,42
6136,富爾特,"59,000","1,104,600",18.80,18.80,18.65,18.75,+0.05,33
6139,亞翔,"218,000","5,604,550",25.80,25.85,25.45,25.85,+0.10,135
6141,柏承,"471,000","8,334,750",17.85,17.90,17.50,17.75,+0.15,262
6142,友勁,"168,000","1,176,500",7.03,7.05,6.93,7.05,+0.11,43
6152,百一,"84,000","497,720",5.95,5.95,5.90,5.93,-0.02,44
6153,嘉聯益,"3,450,000","89,177,200",26.05,26.30,25.40,26.10,+0.10,"1,793"
6155,鈞寶,"527,000","12,360,750",23.55,24.00,23.15,23.80,+0.10,311
6164,華興,"133,000","761,730",5.74,5.85,5.68,5.75,-0.01,58
6165,捷泰,"874,000","25,765,850",30.60,30.75,28.50,29.35,-0.50,400
6166,凌華,"333,000","22,397,800",67.00,67.90,66.50,67.00,+0.20,266
6168,宏齊,"1,618,000","21,282,950",13.20,13.50,12.80,13.50,+0.30,640
6172,互億,"84,000","1,900,700",22.60,22.75,22.25,22.65,+0.05,29
6176,瑞儀,"3,141,000","318,653,000",101.50,102.50,100.00,102.50,+2.00,"2,107"
6177,達麗,"516,000","14,741,500",28.55,28.75,28.45,28.70,+0.15,219
6183,關貿,"83,000","3,444,750",41.70,41.80,41.30,41.80,+0.10,52
6184,大豐電,"73,000","3,072,400",42.10,42.25,42.00,42.10, 0.00,48
6189,豐藝,"297,000","10,199,750",34.30,34.50,34.10,34.40,-0.10,186
6191,精成科,"580,000","7,725,300",13.35,13.40,13.15,13.40,+0.05,291
6192,巨路,"80,000","5,184,800",65.40,65.70,64.10,65.40,-0.30,66
6196,帆宣,"4,519,000","340,664,600",75.30,77.20,73.30,76.50,+1.20,"2,928"
6197,佳必琪,"555,000","17,991,250",32.65,32.75,31.90,32.70,+0.55,308
6201,亞弘電,"15,000","499,500",33.30,33.50,33.20,33.50,+0.25,11
6202,盛群,"503,000","32,784,200",65.30,65.70,64.80,65.50,+0.40,373
6205,詮欣,"81,000","2,104,900",26.00,26.15,25.70,26.00,+0.05,53
6206,飛捷,"113,000","7,677,500",68.00,68.30,67.60,68.20,+0.20,87
6209,今國光,"457,000","10,070,700",22.30,22.30,21.70,22.20,+0.10,243
6213,聯茂,"3,350,000","439,485,500",132.50,133.00,129.00,132.50,+1.50,"2,378"
6214,精誠,"399,000","31,191,900",78.50,78.70,77.60,78.40,-0.20,299
6215,和椿,"228,000","3,563,850",15.75,15.90,15.50,15.50,-0.25,123
6216,居易,"36,000","984,700",27.40,27.40,27.30,27.35,+0.05,26
6224,聚鼎,"579,000","36,867,100",62.90,64.40,62.20,63.90,+1.20,390
6225,天瀚,"2,000","5,720",2.86,2.86,2.86,2.86,-0.04,2
6226,光鼎,"718,000","5,835,330",8.12,8.23,8.02,8.19,+0.09,323
6230,超眾,"1,625,000","365,391,500",232.00,232.50,220.50,226.50,-5.50,"1,438"
6235,華孚,"174,000","1,772,550",10.35,10.35,10.10,10.20, 0.00,83
6239,力成,"3,155,000","307,324,300",97.10,99.00,95.30,98.60,+1.60,"1,964"
6243,迅杰,"174,000","1,565,220",8.70,9.20,8.70,9.20,+0.30,73
6251,定穎,"7,326,000","139,666,550",18.95,19.25,18.70,19.15,+0.35,"2,463"
6257,矽格,"6,149,000","228,463,750",37.75,37.80,36.55,37.55,-0.35,"3,512"
6269,台郡,"2,966,000","311,127,000",104.50,106.00,102.50,106.00,+2.50,"1,702"
6271,同欣電,"7,667,000","1,096,690,000",147.00,147.00,140.50,141.50,-1.50,"4,832"
6277,宏正,"346,000","30,105,300",87.90,87.90,86.50,87.30, 0.00,265
6278,台表科,"13,134,000","1,569,485,000",118.50,123.00,116.00,119.00,+2.50,"8,233"
6281,全國電,"36,000","2,449,400",67.80,68.40,67.80,68.10,+0.30,24
6282,康舒,"844,000","17,108,050",20.30,20.50,20.05,20.40,+0.15,385
6283,淳安,"173,000","3,616,650",21.05,21.45,20.35,21.00,-0.05,109
6285,啟碁,"758,000","47,111,800",62.70,63.00,61.50,62.40,-0.10,542
6288,聯嘉,"2,810,000","56,117,300",19.60,20.40,19.35,20.40,+0.90,"1,173"
6289,華上,"31,000","57,540",1.93,1.93,1.75,1.75,-0.04,13
6405,悅城,"47,000","693,300",14.70,15.00,14.70,14.70,-0.10,22
6409,旭隼,"55,000","42,122,000",775.00,786.00,759.00,765.00,+5.00,49
6412,群電,"171,000","10,662,200",62.70,62.80,62.00,62.50,-0.10,152
6414,樺漢,"348,000","64,489,500",186.00,187.50,181.50,186.00,+2.00,289
6415,矽力-KY,"938,000","1,348,180,000","1,395.00","1,475.00","1,385.00","1,475.00",+105.00,889
6416,瑞祺電通,"7,487,000","1,036,623,000",135.50,141.50,132.00,140.00,+7.00,"4,927"
6431,光麗-KY,"8,000","182,350",22.70,23.00,22.70,22.85,+0.20,8
6442,光聖,"8,000","283,750",35.10,35.70,35.10,35.70,+0.30,8
6443,元晶,"837,000","5,192,830",6.25,6.25,6.17,6.20,+0.01,223
6449,鈺邦,"104,000","3,106,350",29.90,30.35,29.50,30.00,+0.10,71
6451,訊芯-KY,"909,000","97,400,500",106.00,110.00,102.50,110.00,+5.00,750
6452,康友-KY,"393,000","59,678,500",152.50,153.50,149.00,152.50,+1.00,330
6456,GIS-KY,"23,821,000","2,703,916,000",111.00,118.00,109.50,116.50,+9.00,"15,104"
6464,台數科,"36,000","4,109,000",115.00,115.50,113.50,114.00,-0.50,21
6477,安集,"362,000","7,630,750",21.00,21.50,20.55,21.45,+0.85,182
6491,晶碩,"104,000","12,872,500",124.00,126.50,120.50,126.50,+3.00,96
6504,南六,"3,230,000","767,070,000",241.50,244.00,232.00,236.00,-5.50,"2,757"
6505,台塑化,"4,418,000","391,386,300",89.90,90.00,88.00,89.00,-1.00,"2,801"
6525,捷敏-KY,"114,000","6,710,400",58.50,59.40,58.20,59.10,+0.60,81
6531,愛普,"3,976,000","837,484,500",206.50,219.50,201.00,214.00,+7.00,"3,116"
6533,晶心科,"1,122,000","133,193,000",117.50,120.50,115.00,120.00,+4.00,922
6541,泰福-KY,"1,704,000","81,794,750",49.10,49.10,47.10,47.85,-2.05,"1,057"
6552,易華電,"829,000","46,879,400",57.40,58.00,55.80,56.50,-0.90,619
6558,興能高,"835,000","37,368,350",44.80,45.25,43.65,45.10,+0.90,538
6573,虹揚-KY,"47,000","820,900",17.45,17.65,17.05,17.60,+0.20,22
6579,研揚,"26,000","1,650,800",63.80,63.80,63.10,63.80, 0.00,20
6581,鋼聯,"33,000","2,003,900",61.30,61.30,60.50,60.70,-0.20,30
6582,申豐,"1,146,000","132,810,000",117.50,118.50,114.50,115.50,+0.50,914
6591,動力-KY,"1,519,000","72,226,550",45.55,48.90,44.55,48.60,+3.45,"1,126"
6592,和潤企業,"1,268,000","101,012,200",79.50,80.30,79.00,79.60, 0.00,882
6605,帝寶,"126,000","6,112,850",49.30,49.30,47.90,48.85,-0.10,102
6625,必應,"16,000","608,900",38.00,38.35,38.00,38.35,+0.45,13
6641,基士德-KY,"14,000","929,700",66.10,66.60,66.10,66.50,+0.40,12
6655,科定,"41,000","1,664,950",40.95,40.95,40.50,40.50,-0.60,5
6666,羅麗芬-KY,"187,000","23,746,500",123.50,129.50,122.50,126.00,+5.50,164
6668,中揚光,"303,000","17,132,200",57.90,57.90,55.90,56.80,-0.40,232
6669,緯穎,"903,000","769,005,000",849.00,861.00,841.00,861.00,+21.00,812
6670,復盛應用,"1,564,000","276,532,000",175.00,179.50,174.50,175.50,+3.50,"1,280"
6671,三能-KY,"47,000","1,784,050",38.00,38.10,37.80,38.10,+0.30,33
6672,騰輝電子-KY,"488,000","43,211,600",88.50,89.50,87.30,89.20,+1.30,367
6674,鋐寶科技,"9,000","212,000",23.60,23.65,23.40,23.65,+0.05,7
6698,旭暉應材,"96,000","4,954,600",50.10,52.80,50.10,52.50,+1.50,74
6706,惠特,"2,452,000","355,449,500",148.00,150.50,140.00,146.00,-1.50,"1,828"
6715,嘉基,"961,000","113,395,500",118.00,121.50,114.50,121.00,+4.00,738
8011,台通,"3,190,000","54,322,550",16.70,17.30,16.65,17.00,+0.35,"1,605"
8016,矽創,"2,443,000","355,906,500",144.00,148.50,141.00,147.50,+4.50,"1,974"
8021,尖點,"380,000","7,559,850",19.95,20.15,19.70,20.15,+0.20,196
8028,昇陽半導體,"1,171,000","57,026,250",48.20,49.70,47.10,49.65,+1.65,808
8033,雷虎,"244,000","1,970,660",8.19,8.19,8.05,8.05,-0.14,124
8039,台虹,"1,102,000","50,668,300",46.50,46.75,45.35,46.55,+0.45,773
8046,南電,"21,415,000","1,177,378,900",55.60,56.30,54.20,54.70,+0.60,"11,562"
